Car_type,Weight_kg,HP,Height_mm,Drag_coefficient,Frontal area_m2,Track,Corners,Straights,Distance,Time_s
Lancer Evo IX FQ-340,"1,400",350,"1,250",0.35,1.12,Spa,6,3,7.004,130.4
Lotus Esprit V8,"1,376",355,"1,200",0.36,1.13,Spa,6,3,7.004,131.6
Mitsubishi Lancer Evo V GSR,"1,338",280,"1,250",0.35,1.11,Spa,6,3,7.004,131.93
Porsche 911 Carrera (996),"1,370",300,"1,225",0.36,1.1,Spa,6,3,7.004,132.12
Modified BMW M3 (F80),1520,500,"1,270",0.38,1.11,Spa,6,3,7.004,132.65
Mercedes-Benz E 55 AMG (W210),"1,672",354,"1,400",0.34,1.14,Spa,6,3,7.004,132.89
Modified Honda Civic Type-R (FN2),"1,170",250,"1,300",0.4,1.14,Spa,6,3,7.004,133.19
Opel Astra OPC,"1,343",241,"1,250",0.35,1.11,Spa,6,3,7.004,134.6
Renault Clio 182 Trophy,"1,090",182,"1,200",0.34,1.08,Spa,6,3,7.004,134.8
VW Golf GTI (Mk V),"1,408",200,"1,400",0.36,1.1,Spa,6,3,7.004,135.4
Ford Fiesta ST,"1,147",150,"1,300",0.35,1.09,Spa,6,3,7.004,137.06
BMW 328i Coupe,"1,456",193,"1,400",0.36,1.11,Spa,6,3,7.004,137.64
Honda Integra Type R (DC2),"1,145",190,"1,300",0.35,1.1,Spa,6,3,7.004,137.65
Ford Cougar 2.5i,"1,377",170,"1,400",0.36,1.11,Spa,6,3,,140.06
Garage G-Force Kamikaze GR Yaris,"1,130",300,"1,350",0.32,1.1,Tsukuba Circuit,12,1,2.045,56.01
Modified Toyota GR Yaris (Mk IV),"1,065",438,"1,400",0.33,1.12,Tsukuba Circuit,12,1,2.045,58.25
Modified Porsche 911 GT3 RS (991),"1,370",500,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,58.77
Modified BMW M4,"1,621",578,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,59.06
Nissan GT-R Nismo (R35),"1,746",600,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,59.36
McLaren Senna (P15),"1,311",800,"1,200",0.34,1.14,Tsukuba Circuit,12,1,2.045,60.12
Porsche 911 GT3 (991 facelift),"1,477",500,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,60.2
Radical SR4 1.2,530,197,"1,050",0.32,1.05,Tsukuba Circuit,12,1,2.045,60.29
Modified BMW M4,"1,621",578,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,60.41
Porsche 911 GT3 RS (991),"1,477",500,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,60.7
Mercedes-Benz AMG GT R,"1,637",585,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,60.73
Modified Honda Civic Type R (FK8),"1,410",411,"1,300",0.34,1.14,Tsukuba Circuit,12,1,2.045,60.98
Porsche 911 Turbo S,"1,604",580,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,61.08
Nissan Nismo R34 Z-Tune,"1,600",500,"1,300",0.34,1.15,Tsukuba Circuit,12,1,2.045,61.15
Modified Toyota GR Yaris (Mk IV),"1,065",344,"1,400",0.34,1.14,Tsukuba Circuit,12,1,2.045,61.09
McLaren Senna (P15),"1,311",800,"1,200",0.34,1.14,Tsukuba Circuit,12,1,2.045,61.12
Porsche 911 GT3 (991 facelift),"1,477",500,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,61.2
Radical SR4 1.2,530,197,"1,050",0.32,1.05,Tsukuba Circuit,12,1,2.045,61.29
Modified BMW M4,"1,621",578,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,61.41
Porsche 911 GT3 RS (991),"1,477",500,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,61.7
Mercedes-Benz AMG GT R,"1,637",585,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,61.73
Modified Honda Civic Type R (FK8),"1,410",411,"1,300",0.34,1.14,Tsukuba Circuit,12,1,2.045,61.98
Porsche 911 Turbo S,"1,604",580,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,62.08
Nissan Nismo R34 Z-Tune,"1,600",500,"1,300",0.34,1.15,Tsukuba Circuit,12,1,2.045,62.15
Modified Toyota GR Yaris (Mk IV),"1,065",344,"1,400",0.34,1.14,Tsukuba Circuit,12,1,2.045,62.09
McLaren Senna (P15),"1,311",800,"1,200",0.34,1.14,Tsukuba Circuit,12,1,2.045,62.12
Porsche 911 GT3 (991 facelift),"1,477",500,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,62.2
Radical SR4 1.2,530,197,"1,050",0.32,1.05,Tsukuba Circuit,12,1,2.045,62.29
Modified BMW M4,"1,621",578,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,62.41
Porsche 911 GT3 RS (991),"1,477",500,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,62.7
Mercedes-Benz AMG GT R,"1,637",585,"1,400",0.34,1.15,Tsukuba Circuit,12,1,2.045,62.73
Modified Honda Civic Type R (FK8),"1,410",411,"1,300",0.34,1.14,Tsukuba Circuit,12,1,2.045,62.98
Porsche 911 Turbo S,"1,604",580,"1,275",0.38,1.2,Tsukuba Circuit,12,1,2.045,63.08
Nissan Nismo R34 Z-Tune,"1,600",500,"1,300",0.34,1.15,Tsukuba Circuit,12,1,2.045,63.15
Porsche 911 GT2 RS (991.2),"1,470",700,"1,298",0.34,1.94,Nürburgring Nordschleife,73,3,20.832,388.3
Lamborghini Aventador SVJ,"1,525",770,"1,136",0.37,2,Nürburgring Nordschleife,73,3,20.832,389.3
Mercedes-AMG GT Black Series,"1,570",730,"1,286",0.35,1.89,Nürburgring Nordschleife,73,3,20.832,391.3
Radical SR8 LM,650,455,"1,010",0.4,1.78,Nürburgring Nordschleife,73,3,20.832,392.12
Porsche 911 GT3 RS (991),"1,430",520,"1,279",0.34,1.88,Nürburgring Nordschleife,73,3,20.832,399.71
Dodge Viper ACR,"1,556",645,"1,244",0.37,1.91,Nürburgring Nordschleife,73,3,20.832,407.89
Nissan GT-R Nismo (R35),"1,725",600,"1,370",0.26,1.94,Nürburgring Nordschleife,73,3,20.832,422.88
Lamborghini Huracán Performante,"1,382",640,"1,165",0.36,1.92,Nürburgring Nordschleife,73,3,20.832,433.3
Mercedes-AMG GT R Pro,"1,575",585,"1,284",0.35,1.88,Nürburgring Nordschleife,73,3,20.832,437.13
Ferrari 488 Pista,"1,385",720,"1,206",0.36,1.87,Nürburgring Nordschleife,73,3,20.832,440.5
Lexus LFA Nürburgring Edition,"1,520",563,"1,220",0.31,1.89,Nürburgring Nordschleife,73,3,20.832,447.7
Audi R8 V10 Plus,"1,590",610,"1,240",0.36,1.9,Nürburgring Nordschleife,73,3,20.832,448.6
BMW M4 GTS,"1,510",500,"1,380",0.34,1.95,Nürburgring Nordschleife,73,3,20.832,449.4
McLaren 720S,"1,419",720,"1,196",0.33,1.86,Nürburgring Nordschleife,73,3,20.832,450
Honda Civic Type R (FK8),"1,389",320,"1,395",0.27,2.05,Nürburgring Nordschleife,73,3,20.832,464
Lamborghini Gallardo LP 570-4 Superleggera,"1,340",570,"1,180",0.36,1.94,Nürburgring Nordschleife,73,3,20.832,476
Renault Megane RS Trophy-R,"1,306",300,"1,435",0.32,1.96,Nürburgring Nordschleife,73,3,20.832,476.5
Volkswagen Golf GTI Clubsport S,"1,285",310,"1,435",0.31,1.92,Nürburgring Nordschleife,73,3,20.832,479
Alfa Romeo Giulia Quadrifoglio,"1,655",510,"1,419",0.32,2.07,Nürburgring Nordschleife,73,3,20.832,486
Subaru WRX STI Type RA NBR Special,"1,490",310,"1,475",0.32,2,Nürburgring Nordschleife,73,3,20.832,489
Porsche Panamera Turbo,"2,100",550,"1,426",0.29,2.16,Nürburgring Nordschleife,73,3,20.832,492
Mercedes-AMG GT 63 S 4-Door,"2,045",639,"1,446",0.3,2.14,Nürburgring Nordschleife,73,3,20.832,494
Jaguar XE SV Project 8,"1,845",600,"1,446",0.33,2.02,Nürburgring Nordschleife,73,3,20.832,496
Porsche Cayenne Turbo GT,"2,245",640,"1,675",0.33,2.46,Nürburgring Nordschleife,73,3,20.832,502
BMW M5 (F90),"1,935",600,"1,480",0.34,2.08,Nürburgring Nordschleife,73,3,20.832,504
Range Rover Sport SVR,"2,335",575,"1,800",0.36,2.48,Nürburgring Nordschleife,73,3,20.832,517
Alfa Romeo Stelvio Quadrifoglio,"1,830",510,"1,670",0.34,2.34,Nürburgring Nordschleife,73,3,20.832,522
BMW X6 M Competition,"2,370",625,"1,690",0.36,2.5,Nürburgring Nordschleife,73,3,20.832,525
Audi RS Q8,"2,315",600,"1,670",0.35,2.52,Nürburgring Nordschleife,73,3,20.832,527
Mercedes-AMG GLC 63 S,"1,985",510,"1,670",0.36,2.48,Nürburgring Nordschleife,73,3,20.832,529
McLaren P1,"1,519",916,"1,240",0.36,1.12,Suzuka Circuit,18,2,5.807,118.74
Porsche 918 Spyder,"1,671",887,"1,230",0.35,1.15,Suzuka Circuit,18,2,5.807,118.94
Ferrari LaFerrari,"1,606",963,"1,195",0.34,1.1,Suzuka Circuit,18,2,5.807,119.01
Porsche 911 GT3 RS (991),"1,469",500,"1,275",0.39,1.2,Suzuka Circuit,18,2,5.807,120.3
Porsche Cayman GT4 (981),"1,360",385,"1,225",0.37,1.08,Suzuka Circuit,18,2,5.807,123.45
Ascari KZ1,"1,350",507,"1,210",0.38,1.09,Suzuka Circuit,18,2,5.807,125.45
Modified Honda Integra Type R,"1,120",249,"1,300",0.4,1.14,Suzuka Circuit,18,2,5.807,126.1
Caterham Superlight R,470,193,"1,150",0.33,1.05,Suzuka Circuit,18,2,5.807,126.34
Ferrari F430,"1,497",490,"1,220",0.37,1.13,Suzuka Circuit,18,2,5.807,127.2
Modified BMW M2 Competition (F87),1495,365,"1,270",0.38,1.11,Suzuka Circuit,18,2,5.807,127.43
TVR Sagaris,"1,078",400,"1,200",0.37,1.1,Suzuka Circuit,18,2,5.807,128.12
Chevrolet Corvette C6,"1,487",405,"1,220",0.36,1.13,Suzuka Circuit,18,2,5.807,128.5
Aston Martin V8 Vantage,"1,633",426,"1,230",0.37,1.12,Suzuka Circuit,18,2,5.807,129.5
Ferrari 550 Maranello,"1,724",486,"1,220",0.36,1.14,Suzuka Circuit,18,2,5.807,129.91
Lotus Exige 240R,941,247,"1,150",0.34,1.08,Suzuka Circuit,18,2,5.807,130.3
Porsche Boxster S (987),"1,400",280,"1,225",0.36,1.11,Suzuka Circuit,18,2,5.807,130.3
BMW M5 (E60),"1,868",507,"1,400",0.34,1.15,Suzuka Circuit,18,2,5.807,130.5
Lancer Evo IX FQ-340,"1,400",350,"1,250",0.35,1.12,Suzuka Circuit,18,2,5.807,130.55
Lotus Esprit V8,"1,376",355,"1,200",0.36,1.13,Suzuka Circuit,18,2,5.807,131.7
Mitsubishi Lancer Evo V GSR,"1,338",280,"1,250",0.35,1.11,Suzuka Circuit,18,2,5.807,132
Porsche 911 Carrera (996),"1,370",300,"1,225",0.36,1.1,Suzuka Circuit,18,2,5.807,132.12
Modified BMW M3 (F80),1520,500,"1,270",0.38,1.11,Suzuka Circuit,18,2,5.807,132.68
Mercedes-Benz E 55 AMG (W210),"1,672",354,"1,400",0.34,1.14,Suzuka Circuit,18,2,5.807,132.93
Modified Honda Civic Type-R (FN2),"1,170",250,"1,300",0.4,1.14,Suzuka Circuit,18,2,5.807,133.23
Opel Astra OPC,"1,343",241,"1,250",0.35,1.11,Suzuka Circuit,18,2,5.807,134.6
Renault Clio 182 Trophy,"1,090",182,"1,200",0.34,1.08,Suzuka Circuit,18,2,5.807,134.8
VW Golf GTI (Mk V),"1,408",200,"1,400",0.36,1.1,Suzuka Circuit,18,2,5.807,135.3
Ford Fiesta ST,"1,147",150,"1,300",0.35,1.09,Suzuka Circuit,18,2,5.807,137.15
BMW 328i Coupe,"1,456",193,"1,400",0.36,1.11,Suzuka Circuit,18,2,5.807,137.65
Honda Integra Type R (DC2),"1,145",190,"1,300",0.35,1.1,Suzuka Circuit,18,2,5.807,137.75
Ford Cougar 2.5i,"1,377",170,"1,400",0.36,1.11,Suzuka Circuit,18,2,5.807,140.15
McLaren 720S,"1,419",720,"1,196",0.33,1.86,Monza,11,2,5.793,199.12
Ferrari SF90 Stradale,"1,570",986,"1,218",0.34,1.9,Monza,11,2,5.793,201.22
Porsche 911 GT2 RS (991.2),"1,470",700,"1,298",0.34,1.94,Monza,11,2,5.793,202.1
Lamborghini Aventador SVJ,"1,525",770,"1,136",0.37,2,Monza,11,2,5.793,203
Mercedes-AMG GT R Pro,"1,575",585,"1,284",0.35,1.88,Monza,11,2,5.793,204.15
Aston Martin Vantage AMR,"1,530",510,"1,270",0.36,1.92,Monza,11,2,5.793,205.22
Nissan GT-R Nismo (R35),"1,725",600,"1,370",0.26,1.94,Monza,11,2,5.793,206.3
BMW M4 GTS,"1,510",500,"1,380",0.34,1.95,Monza,11,2,5.793,207.4
Lexus LFA Nürburgring Edition,"1,520",563,"1,220",0.31,1.89,Monza,11,2,5.793,208
Audi R8 V10 Plus,"1,590",610,"1,240",0.36,1.9,Monza,11,2,5.793,209.3
Ferrari 488 Pista,"1,385",720,"1,206",0.36,1.87,Monza,11,2,5.793,210.1
Porsche 911 Turbo S,"1,604",580,"1,275",0.38,1.2,Monza,11,2,5.793,210.5
Mercedes-AMG GT Black Series,"1,570",730,"1,286",0.35,1.89,Monza,11,2,5.793,211.1
Lamborghini Huracán Performante,"1,382",640,"1,165",0.36,1.92,Monza,11,2,5.793,212
Jaguar F-Type SVR,"1,745",575,"1,311",0.37,1.95,Monza,11,2,5.793,213.2
McLaren 600LT,"1,356",600,"1,194",0.33,1.88,Monza,11,2,5.793,214
Aston Martin DB11,"1,760",630,"1,280",0.35,1.95,Monza,11,2,5.793,215.5
Chevrolet Corvette C8 Z06,"1,595",650,"1,234",0.36,1.9,Monza,11,2,5.793,216
Maserati MC20,"1,500",621,"1,220",0.34,1.89,Monza,11,2,5.793,217
Alfa Romeo Giulia Quadrifoglio,"1,655",510,"1,419",0.32,2.07,Monza,11,2,5.793,218
BMW M5 (F90),"1,935",600,"1,480",0.34,2.08,Monza,11,2,5.793,219
Lamborghini Gallardo LP 570-4 Superleggera,"1,340",570,"1,180",0.36,1.94,Monza,11,2,5.793,220
Renault Megane RS Trophy-R,"1,306",300,"1,435",0.32,1.96,Monza,11,2,5.793,221
Volkswagen Golf GTI Clubsport S,"1,285",310,"1,435",0.31,1.92,Monza,11,2,5.793,222
Subaru WRX STI Type RA NBR Special,"1,490",310,"1,475",0.32,2,Monza,11,2,5.793,223
Mercedes-AMG GT 63 S 4-Door,"2,045",639,"1,446",0.3,2.14,Monza,11,2,5.793,224
Porsche Panamera Turbo,"2,100",550,"1,426",0.29,2.16,Monza,11,2,5.793,225
Alfa Romeo Stelvio Quadrifoglio,"1,830",510,"1,670",0.34,2.34,Monza,11,2,5.793,226
Range Rover Sport SVR,"2,335",575,"1,800",0.36,2.48,Monza,11,2,5.793,227
Audi RS Q8,"2,315",600,"1,670",0.35,2.52,Monza,11,2,5.793,228
Porsche 919 Hybrid Evo,849,1160,"1,050",0.34,1.8,Circuit de la Sarthe,38,2,13.626,191.1
Toyota TS050 Hybrid,870,1000,"1,030",0.35,1.75,Circuit de la Sarthe,38,2,13.626,195.5
Audi R18 e-tron quattro,870,1000,"1,030",0.35,1.75,Circuit de la Sarthe,38,2,13.626,199.5
Peugeot 908 HDi FAP,930,730,"1,030",0.32,1.68,Circuit de la Sarthe,38,2,13.626,202.3
Mazda 787B,830,700,"1,030",0.35,1.8,Circuit de la Sarthe,38,2,13.626,205.5
Ferrari 512 S,815,550,"1,000",0.34,1.7,Circuit de la Sarthe,38,2,13.626,208
McLaren P1,1519,916,1240,0.36,1.12,Snetterton Circuit,13,3,4.76,300.2
Porsche 918 Spyder,1671,887,1230,0.35,1.15,Snetterton Circuit,13,3,4.76,301.5
Ferrari LaFerrari,1606,963,1195,0.34,1.1,Snetterton Circuit,13,3,4.76,302.1
Porsche 911 GT3 RS (991),1469,500,1275,0.39,1.2,Snetterton Circuit,13,3,4.76,303
Porsche Cayman GT4 (981),1360,385,1225,0.37,1.08,Snetterton Circuit,13,3,4.76,304.5
Ascari KZ1,1350,507,1210,0.38,1.09,Snetterton Circuit,13,3,4.76,305.1
Modified Honda Integra Type R,1120,249,1300,0.4,1.14,Snetterton Circuit,13,3,4.76,306
Caterham Superlight R,470,193,1150,0.33,1.05,Snetterton Circuit,13,3,4.76,306.4
Ferrari F430,1497,490,1220,0.37,1.13,Snetterton Circuit,13,3,4.76,307.3
Modified BMW M2 Competition (F87),1495,365,1270,0.38,1.11,Snetterton Circuit,13,3,4.76,308
TVR Sagaris,1078,400,1200,0.37,1.1,Snetterton Circuit,13,3,4.76,309
Chevrolet Corvette C6,1487,405,1220,0.36,1.13,Snetterton Circuit,13,3,4.76,310.1
Aston Martin V8 Vantage,1633,426,1230,0.37,1.12,Snetterton Circuit,13,3,4.76,311
Ferrari 550 Maranello,1724,486,1220,0.36,1.14,Snetterton Circuit,13,3,4.76,312
Lotus Exige 240R,941,247,1150,0.34,1.08,Snetterton Circuit,13,3,4.76,313
Porsche Boxster S (987),1400,280,1225,0.36,1.11,Snetterton Circuit,13,3,4.76,314
BMW M5 (E60),1868,507,1400,0.34,1.15,Snetterton Circuit,13,3,4.76,315
Lancer Evo IX FQ-340,1400,350,1250,0.35,1.12,Snetterton Circuit,13,3,4.76,316
Lotus Esprit V8,1376,355,1200,0.36,1.13,Snetterton Circuit,13,3,4.76,317
Mitsubishi Lancer Evo V GSR,1338,280,1250,0.35,1.11,Snetterton Circuit,13,3,4.76,318
Porsche 911 Carrera (996),1370,300,1225,0.36,1.1,Snetterton Circuit,13,3,4.76,319
Modified BMW M3 (F80),1520,500,1270,0.38,1.11,Snetterton Circuit,13,3,4.76,320
Mercedes-Benz E 55 AMG (W210),1672,354,1400,0.34,1.14,Snetterton Circuit,13,3,4.76,321
Modified Honda Civic Type-R (FN2),1170,250,1300,0.4,1.14,Snetterton Circuit,13,3,4.76,322
Opel Astra OPC,1343,241,1250,0.35,1.11,Snetterton Circuit,13,3,4.76,323
Renault Clio 182 Trophy,1090,182,1200,0.34,1.08,Snetterton Circuit,13,3,4.76,324
VW Golf GTI (Mk V),1408,200,1400,0.36,1.1,Snetterton Circuit,13,3,4.76,325
Ford Fiesta ST,1147,150,1300,0.35,1.09,Snetterton Circuit,13,3,4.76,326
BMW 328i Coupe,1456,193,1400,0.36,1.11,Snetterton Circuit,13,3,4.76,327
Honda Integra Type R (DC2),1145,190,1300,0.35,1.1,Snetterton Circuit,13,3,4.76,328
